"","id","date","hour","value","valid","unit","station_id","station_name","station_code","parametro"
"1","249TMP22020913","2022-02-09",13,16.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"2","249TMP22020914","2022-02-09",14,17.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"3","249TMP22020915","2022-02-09",15,19.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"4","249TMP22020916","2022-02-09",16,19.4,1,"°C",249,"Cuautitlán","CUT","TMP"
"5","249TMP22020917","2022-02-09",17,19.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"6","249TMP22020918","2022-02-09",18,18.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"7","249TMP22020919","2022-02-09",19,17.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"8","249TMP22020920","2022-02-09",20,15.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"9","249TMP22020921","2022-02-09",21,15.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"10","249TMP22020922","2022-02-09",22,14.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"11","249TMP22020923","2022-02-09",23,12.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"12","249TMP22021000","2022-02-10",0,8.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"13","249TMP22021001","2022-02-10",1,6.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"14","249TMP22021002","2022-02-10",2,5.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"15","249TMP22021003","2022-02-10",3,4,1,"°C",249,"Cuautitlán","CUT","TMP"
"16","249TMP22021004","2022-02-10",4,3.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"17","249TMP22021005","2022-02-10",5,2.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"18","249TMP22021006","2022-02-10",6,1.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"19","249TMP22021007","2022-02-10",7,1.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"20","249TMP22021008","2022-02-10",8,0.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"21","249TMP22021010","2022-02-10",10,10.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"22","249TMP22021011","2022-02-10",11,13.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"23","249TMP22021012","2022-02-10",12,16.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"24","249TMP22021013","2022-02-10",13,18.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"25","249TMP22021014","2022-02-10",14,19.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"26","249TMP22021015","2022-02-10",15,19.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"27","249TMP22021016","2022-02-10",16,19.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"28","249TMP22021017","2022-02-10",17,19.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"29","249TMP22021018","2022-02-10",18,19.4,1,"°C",249,"Cuautitlán","CUT","TMP"
"30","249TMP22021019","2022-02-10",19,17.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"31","249TMP22021020","2022-02-10",20,16.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"32","249TMP22021021","2022-02-10",21,14.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"33","249TMP22021022","2022-02-10",22,11.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"34","249TMP22021023","2022-02-10",23,7.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"35","249TMP22021100","2022-02-11",0,6,1,"°C",249,"Cuautitlán","CUT","TMP"
"36","249TMP22021101","2022-02-11",1,4.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"37","249TMP22021102","2022-02-11",2,3.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"38","249TMP22021103","2022-02-11",3,2.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"39","249TMP22021104","2022-02-11",4,1.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"40","249TMP22021105","2022-02-11",5,0.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"41","249TMP22021106","2022-02-11",6,0.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"42","249TMP22021107","2022-02-11",7,NA,1,"°C",249,"Cuautitlán","CUT","TMP"
"43","249TMP22021108","2022-02-11",8,NA,1,"°C",249,"Cuautitlán","CUT","TMP"
"44","249TMP22021109","2022-02-11",9,6.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"45","249TMP22021110","2022-02-11",10,10.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"46","249TMP22021111","2022-02-11",11,14.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"47","249TMP22021112","2022-02-11",12,16.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"48","249TMP22021113","2022-02-11",13,19.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"49","249TMP22021114","2022-02-11",14,21,1,"°C",249,"Cuautitlán","CUT","TMP"
"50","249TMP22021115","2022-02-11",15,21.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"51","249TMP22021116","2022-02-11",16,21.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"52","249TMP22021117","2022-02-11",17,20.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"53","249TMP22021118","2022-02-11",18,19.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"54","249TMP22021119","2022-02-11",19,17.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"55","249TMP22021120","2022-02-11",20,16,1,"°C",249,"Cuautitlán","CUT","TMP"
"56","249TMP22021121","2022-02-11",21,14.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"57","249TMP22021122","2022-02-11",22,13.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"58","249TMP22021123","2022-02-11",23,12.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"59","249TMP22021200","2022-02-12",0,10.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"60","249TMP22021201","2022-02-12",1,7.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"61","249TMP22021202","2022-02-12",2,5,1,"°C",249,"Cuautitlán","CUT","TMP"
"62","249TMP22021203","2022-02-12",3,3.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"63","249TMP22021204","2022-02-12",4,5.4,1,"°C",249,"Cuautitlán","CUT","TMP"
"64","249TMP22021205","2022-02-12",5,5.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"65","249TMP22021206","2022-02-12",6,5.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"66","249TMP22021207","2022-02-12",7,5.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"67","249TMP22021208","2022-02-12",8,5.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"68","249TMP22021209","2022-02-12",9,8.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"69","249TMP22021210","2022-02-12",10,11.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"70","249TMP22021211","2022-02-12",11,13.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"71","249TMP22021212","2022-02-12",12,16.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"72","249TMP22021213","2022-02-12",13,18.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"73","249TMP22021214","2022-02-12",14,19,1,"°C",249,"Cuautitlán","CUT","TMP"
"74","249TMP22021215","2022-02-12",15,18.4,1,"°C",249,"Cuautitlán","CUT","TMP"
"75","249TMP22021216","2022-02-12",16,18.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"76","249TMP22021217","2022-02-12",17,18,1,"°C",249,"Cuautitlán","CUT","TMP"
"77","249TMP22021218","2022-02-12",18,18,1,"°C",249,"Cuautitlán","CUT","TMP"
"78","249TMP22021219","2022-02-12",19,16.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"79","249TMP22021220","2022-02-12",20,16,1,"°C",249,"Cuautitlán","CUT","TMP"
"80","249TMP22021221","2022-02-12",21,14.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"81","249TMP22021222","2022-02-12",22,12.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"82","249TMP22021223","2022-02-12",23,11.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"83","249TMP22021300","2022-02-13",0,9.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"84","249TMP22021301","2022-02-13",1,7.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"85","249TMP22021302","2022-02-13",2,5.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"86","249TMP22021303","2022-02-13",3,5.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"87","249TMP22021304","2022-02-13",4,7.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"88","249TMP22021305","2022-02-13",5,8,1,"°C",249,"Cuautitlán","CUT","TMP"
"89","249TMP22021306","2022-02-13",6,8.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"90","249TMP22021307","2022-02-13",7,8.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"91","249TMP22021308","2022-02-13",8,7.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"92","249TMP22021309","2022-02-13",9,8.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"93","249TMP22021310","2022-02-13",10,10.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"94","249TMP22021311","2022-02-13",11,12.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"95","249TMP22021312","2022-02-13",12,13.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"96","249TMP22021313","2022-02-13",13,15.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"97","249TMP22021314","2022-02-13",14,16.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"98","249TMP22021315","2022-02-13",15,17.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"99","249TMP22021316","2022-02-13",16,17.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"100","249TMP22021317","2022-02-13",17,16.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"101","249TMP22021318","2022-02-13",18,14.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"102","249TMP22021319","2022-02-13",19,12.4,1,"°C",249,"Cuautitlán","CUT","TMP"
"103","249TMP22021320","2022-02-13",20,10.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"104","249TMP22021321","2022-02-13",21,9.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"105","249TMP22021322","2022-02-13",22,8.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"106","249TMP22021323","2022-02-13",23,8.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"107","249TMP22021400","2022-02-14",0,9.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"108","249TMP22021401","2022-02-14",1,8.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"109","249TMP22021402","2022-02-14",2,6.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"110","249TMP22021403","2022-02-14",3,6.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"111","249TMP22021404","2022-02-14",4,6.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"112","249TMP22021405","2022-02-14",5,6.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"113","249TMP22021406","2022-02-14",6,5.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"114","249TMP22021407","2022-02-14",7,3.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"115","249TMP22021408","2022-02-14",8,3.4,1,"°C",249,"Cuautitlán","CUT","TMP"
"116","249TMP22021409","2022-02-14",9,7.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"117","249TMP22021410","2022-02-14",10,10.4,1,"°C",249,"Cuautitlán","CUT","TMP"
"118","249TMP22021411","2022-02-14",11,12.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"119","249TMP22021412","2022-02-14",12,15,1,"°C",249,"Cuautitlán","CUT","TMP"
"120","249TMP22021413","2022-02-14",13,17.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"121","249TMP22021414","2022-02-14",14,18.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"122","249TMP22021415","2022-02-14",15,19.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"123","249TMP22021416","2022-02-14",16,19.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"124","249TMP22021417","2022-02-14",17,18.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"125","249TMP22021418","2022-02-14",18,17.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"126","249TMP22021419","2022-02-14",19,16.4,1,"°C",249,"Cuautitlán","CUT","TMP"
"127","249TMP22021420","2022-02-14",20,14.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"128","249TMP22021421","2022-02-14",21,12.4,1,"°C",249,"Cuautitlán","CUT","TMP"
"129","249TMP22021422","2022-02-14",22,11.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"130","249TMP22021423","2022-02-14",23,11.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"131","249TMP22021500","2022-02-15",0,11.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"132","249TMP22021501","2022-02-15",1,10.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"133","249TMP22021502","2022-02-15",2,9.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"134","249TMP22021503","2022-02-15",3,8,1,"°C",249,"Cuautitlán","CUT","TMP"
"135","249TMP22021504","2022-02-15",4,7.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"136","249TMP22021505","2022-02-15",5,6.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"137","249TMP22021506","2022-02-15",6,5.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"138","249TMP22021507","2022-02-15",7,5.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"139","249TMP22021508","2022-02-15",8,5,1,"°C",249,"Cuautitlán","CUT","TMP"
"140","249TMP22021509","2022-02-15",9,9.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"141","249TMP22021510","2022-02-15",10,12.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"142","249TMP22021511","2022-02-15",11,14.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"143","249TMP22021512","2022-02-15",12,16.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"144","249TMP22021513","2022-02-15",13,18.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"145","249TMP22021514","2022-02-15",14,20,1,"°C",249,"Cuautitlán","CUT","TMP"
"146","249TMP22021515","2022-02-15",15,20.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"147","249TMP22021516","2022-02-15",16,20.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"148","249TMP22021517","2022-02-15",17,21.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"149","249TMP22021518","2022-02-15",18,20.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"150","249TMP22021519","2022-02-15",19,18.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"151","249TMP22021520","2022-02-15",20,13.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"152","249TMP22021521","2022-02-15",21,14.4,1,"°C",249,"Cuautitlán","CUT","TMP"
"153","249TMP22021522","2022-02-15",22,14.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"154","249TMP22021523","2022-02-15",23,13.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"155","249TMP22021600","2022-02-16",0,12.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"156","249TMP22021601","2022-02-16",1,11.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"157","249TMP22021602","2022-02-16",2,11.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"158","249TMP22021603","2022-02-16",3,11.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"159","249TMP22021604","2022-02-16",4,11.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"160","249TMP22021605","2022-02-16",5,10.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"161","249TMP22021606","2022-02-16",6,8.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"162","249TMP22021607","2022-02-16",7,7.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"163","249TMP22021608","2022-02-16",8,6.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"164","249TMP22021609","2022-02-16",9,11.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"165","249TMP22021610","2022-02-16",10,15.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"166","249TMP22021611","2022-02-16",11,17.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"167","249TMP22021612","2022-02-16",12,19.4,1,"°C",249,"Cuautitlán","CUT","TMP"
"168","249TMP22021613","2022-02-16",13,20.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"169","249TMP22021614","2022-02-16",14,22.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"170","249TMP22021615","2022-02-16",15,22.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"171","249TMP22021616","2022-02-16",16,23,1,"°C",249,"Cuautitlán","CUT","TMP"
"172","249TMP22021617","2022-02-16",17,23.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"173","249TMP22021618","2022-02-16",18,22.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"174","249TMP22021619","2022-02-16",19,22,1,"°C",249,"Cuautitlán","CUT","TMP"
"175","249TMP22021620","2022-02-16",20,19.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"176","249TMP22021621","2022-02-16",21,16.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"177","249TMP22021622","2022-02-16",22,11.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"178","249TMP22021623","2022-02-16",23,10,1,"°C",249,"Cuautitlán","CUT","TMP"
"179","249TMP22021700","2022-02-17",0,8.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"180","249TMP22021701","2022-02-17",1,7.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"181","249TMP22021702","2022-02-17",2,6.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"182","249TMP22021703","2022-02-17",3,5.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"183","249TMP22021704","2022-02-17",4,5,1,"°C",249,"Cuautitlán","CUT","TMP"
"184","249TMP22021705","2022-02-17",5,4.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"185","249TMP22021706","2022-02-17",6,4,1,"°C",249,"Cuautitlán","CUT","TMP"
"186","249TMP22021707","2022-02-17",7,3.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"187","249TMP22021708","2022-02-17",8,3.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"188","249TMP22021709","2022-02-17",9,9.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"189","249TMP22021710","2022-02-17",10,14.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"190","249TMP22021711","2022-02-17",11,17.4,1,"°C",249,"Cuautitlán","CUT","TMP"
"191","249TMP22021712","2022-02-17",12,19.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"192","249TMP22021713","2022-02-17",13,21.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"193","249TMP22021714","2022-02-17",14,22.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"194","249TMP22021715","2022-02-17",15,23.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"195","249TMP22021716","2022-02-17",16,24.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"196","249TMP22021717","2022-02-17",17,24.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"197","249TMP22021718","2022-02-17",18,22.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"198","249TMP22021719","2022-02-17",19,21.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"199","249TMP22021720","2022-02-17",20,19.4,1,"°C",249,"Cuautitlán","CUT","TMP"
"200","249TMP22021721","2022-02-17",21,18.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"201","249TMP22021722","2022-02-17",22,15.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"202","249TMP22021723","2022-02-17",23,12.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"203","249TMP22021800","2022-02-18",0,11,1,"°C",249,"Cuautitlán","CUT","TMP"
"204","249TMP22021801","2022-02-18",1,9.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"205","249TMP22021802","2022-02-18",2,7.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"206","249TMP22021803","2022-02-18",3,6.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"207","249TMP22021804","2022-02-18",4,6,1,"°C",249,"Cuautitlán","CUT","TMP"
"208","249TMP22021805","2022-02-18",5,5.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"209","249TMP22021806","2022-02-18",6,4.4,1,"°C",249,"Cuautitlán","CUT","TMP"
"210","249TMP22021807","2022-02-18",7,3.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"211","249TMP22021808","2022-02-18",8,3.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"212","249TMP22021809","2022-02-18",9,10.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"213","249TMP22021810","2022-02-18",10,14.4,1,"°C",249,"Cuautitlán","CUT","TMP"
"214","249TMP22021811","2022-02-18",11,16.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"215","249TMP22021812","2022-02-18",12,19.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"216","249TMP22021813","2022-02-18",13,20.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"217","249TMP22021814","2022-02-18",14,22.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"218","249TMP22022301","2022-02-23",1,11.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"219","249TMP22022302","2022-02-23",2,9.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"220","249TMP22022303","2022-02-23",3,8.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"221","249TMP22022304","2022-02-23",4,8.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"222","249TMP22022305","2022-02-23",5,7.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"223","249TMP22022306","2022-02-23",6,6.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"224","249TMP22022307","2022-02-23",7,5.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"225","249TMP22022308","2022-02-23",8,6,1,"°C",249,"Cuautitlán","CUT","TMP"
"226","249TMP22022309","2022-02-23",9,12.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"227","249TMP22022310","2022-02-23",10,16.4,1,"°C",249,"Cuautitlán","CUT","TMP"
"228","249TMP22022311","2022-02-23",11,19.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"229","249TMP22022312","2022-02-23",12,22,1,"°C",249,"Cuautitlán","CUT","TMP"
"230","249TMP22022313","2022-02-23",13,24.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"231","249TMP22022314","2022-02-23",14,25.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"232","249TMP22022315","2022-02-23",15,27.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"233","249TMP22022316","2022-02-23",16,27.4,1,"°C",249,"Cuautitlán","CUT","TMP"
"234","249TMP22022317","2022-02-23",17,27.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"235","249TMP22022318","2022-02-23",18,26.4,1,"°C",249,"Cuautitlán","CUT","TMP"
"236","249TMP22022319","2022-02-23",19,23.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"237","249TMP22022320","2022-02-23",20,21.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"238","249TMP22022321","2022-02-23",21,18.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"239","249TMP22022322","2022-02-23",22,15.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"240","249TMP22022323","2022-02-23",23,15.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"241","249TMP22022400","2022-02-24",0,11,1,"°C",249,"Cuautitlán","CUT","TMP"
"242","249TMP22022401","2022-02-24",1,9.4,1,"°C",249,"Cuautitlán","CUT","TMP"
"243","249TMP22022402","2022-02-24",2,8.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"244","249TMP22022403","2022-02-24",3,7.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"245","249TMP22022404","2022-02-24",4,6.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"246","249TMP22022405","2022-02-24",5,5.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"247","249TMP22022406","2022-02-24",6,4.4,1,"°C",249,"Cuautitlán","CUT","TMP"
"248","249TMP22022407","2022-02-24",7,3.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"249","249TMP22022408","2022-02-24",8,4,1,"°C",249,"Cuautitlán","CUT","TMP"
"250","249TMP22022409","2022-02-24",9,11,1,"°C",249,"Cuautitlán","CUT","TMP"
"251","249TMP22022410","2022-02-24",10,14.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"252","249TMP22022411","2022-02-24",11,17.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"253","249TMP22022412","2022-02-24",12,20,1,"°C",249,"Cuautitlán","CUT","TMP"
"254","249TMP22022413","2022-02-24",13,22.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"255","249TMP22022414","2022-02-24",14,24.4,1,"°C",249,"Cuautitlán","CUT","TMP"
"256","249TMP22022415","2022-02-24",15,25.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"257","249TMP22022416","2022-02-24",16,25.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"258","249TMP22022417","2022-02-24",17,25.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"259","249TMP22022418","2022-02-24",18,25.1,1,"°C",249,"Cuautitlán","CUT","TMP"
"260","249TMP22022419","2022-02-24",19,20.6,1,"°C",249,"Cuautitlán","CUT","TMP"
"261","249TMP22022420","2022-02-24",20,19.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"262","249TMP22022421","2022-02-24",21,18.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"263","249TMP22022422","2022-02-24",22,17.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"264","249TMP22022423","2022-02-24",23,16.7,1,"°C",249,"Cuautitlán","CUT","TMP"
"265","249TMP22022500","2022-02-25",0,13.9,1,"°C",249,"Cuautitlán","CUT","TMP"
"266","249TMP22022501","2022-02-25",1,10.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"267","249TMP22022502","2022-02-25",2,9,1,"°C",249,"Cuautitlán","CUT","TMP"
"268","249TMP22022503","2022-02-25",3,8.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"269","249TMP22022504","2022-02-25",4,7.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"270","249TMP22022505","2022-02-25",5,6.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"271","249TMP22022506","2022-02-25",6,5.8,1,"°C",249,"Cuautitlán","CUT","TMP"
"272","249TMP22022509","2022-02-25",9,12.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"273","249TMP22022510","2022-02-25",10,14.5,1,"°C",249,"Cuautitlán","CUT","TMP"
"274","249TMP22022511","2022-02-25",11,16.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"275","249TMP22022512","2022-02-25",12,18.2,1,"°C",249,"Cuautitlán","CUT","TMP"
"276","249TMP22022513","2022-02-25",13,20.4,1,"°C",249,"Cuautitlán","CUT","TMP"
"277","249TMP22022514","2022-02-25",14,22,1,"°C",249,"Cuautitlán","CUT","TMP"
"278","249TMP22022515","2022-02-25",15,23.3,1,"°C",249,"Cuautitlán","CUT","TMP"
"279","249TMP22022516","2022-02-25",16,24,1,"°C",249,"Cuautitlán","CUT","TMP"
"280","249TMP22022517","2022-02-25",17,24.4,1,"°C",249,"Cuautitlán","CUT","TMP"
